Entity,Code,Day,deaths_2021_all_ages,deaths_2020_all_ages,projected_deaths_since_2020_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2022_all_ages,deaths_2023_all_ages
Albania,ALB,2020-01-31,3002,2187,2434.2,2490,2065,3129,2158,2397,3294,2161
Albania,ALB,2020-02-29,3773,2018,1961.6,2139,1905,1845,2013,1974,2752,1890
Albania,ALB,2020-03-31,3447,1993,1967.2,2051,1910,1817,2136,1990,1892,1506
Albania,ALB,2020-04-30,2419,1804,1734,1906,1652,1665,1828,1687,1707,
Albania,ALB,2020-05-31,1874,1803,1685,1709,1716,1660,1664,1744,1675,
Albania,ALB,2020-06-30,1822,1779,1614,1561,1678,1605,1576,1718,1534,
Albania,ALB,2020-07-31,1820,2166,1751.2,2008,1643,1788,1641,1744,1988,
Albania,ALB,2020-08-31,2080,2476,1694.6,1687,1578,1833,1709,1734,1876,
Albania,ALB,2020-09-30,2506,1982,1518.2,1569,1459,1482,1621,1528,1266,
Albania,ALB,2020-10-31,2559,2403,1651,1560,1743,1679,1668,1673,1668,
Albania,ALB,2020-11-30,2506,3854,1750.6,1728,1855,1716,1730,1792,1672,
Albania,ALB,2020-12-31,2772,3140,2031,2010,2184,2013,2060,1956,1576,
Algeria,DZA,2020-01-31,,17195,17633.9,,,,16409.1,17783.6,,
Algeria,DZA,2020-02-29,,15810,15907.4,,,,15409.1,15330.7,,
Algeria,DZA,2020-03-31,,15882,15834.4,,,,15227.3,15366.7,,
Algeria,DZA,2020-04-30,,15020,14860.4,,,,14181.8,14464.9,,
Algeria,DZA,2020-05-31,,14833,14849.4,,,,14159.1,14464.9,,
Algeria,DZA,2020-06-30,,18100,14486.4,,,,13613.6,14284.6,,
Algeria,DZA,2020-07-31,,32170,15266.4,,,,14704.5,14753.5,,
Algeria,DZA,2020-08-31,,23413,15260.9,,,,14477.3,14969.9,,
Algeria,DZA,2020-09-30,,17043,14303.9,,,,13500,14032.1,,
Algeria,DZA,2020-10-31,,18665,15295.9,,,,14727.3,14789.6,,
Algeria,DZA,2020-11-30,,26100,15513.4,,,,14909.1,15042.1,,
